Route,Algorithm,Travel Time Min,Path Nodes,Runtime Seconds,Memory MB,Found Path,Gap
Cookeville_Lebanon,Bellman-Ford,20.003250432989876,53,14.665022134780884,33.60336685180664,True,0.0%
Cookeville_Tennessee_USA,Dijkstra,11.259105302866852,60,0.03386378288269043,0.3256378173828125,True,baseline
Cookeville_Tennessee_USA,A*,11.395887094997057,51,0.010969400405883789,0.26636505126953125,True,1.2%
Cookeville_Tennessee_USA,Bellman-Ford,11.259105302866852,60,0.17785191535949707,0.9863777160644531,True,0.0%
Greensboro_North_Carolina_USA,Dijkstra,20.07347606231167,99,0.20584440231323242,1.3089752197265625,True,baseline
Greensboro_North_Carolina_USA,A*,21.058511817826567,98,0.14357447624206543,1.1999359130859375,True,4.9%
Greensboro_North_Carolina_USA,Bellman-Ford,20.07347606231167,99,1.4878747463226318,7.047489166259766,True,0.0%
Huntsville_Alabama_USA,Dijkstra,19.95475865700963,106,0.1578505039215088,1.3039703369140625,True,baseline
Huntsville_Alabama_USA,A*,20.599461242636437,139,0.03834247589111328,1.0660934448242188,True,3.2%
Huntsville_Alabama_USA,Bellman-Ford,19.95475865700963,106,1.1355807781219482,6.263545989990234,True,0.0%
Jackson_Tennessee_USA,Dijkstra,12.65489516243122,86,0.062280893325805664,0.48439788818359375,True,baseline
Jackson_Tennessee_USA,A*,12.65489516243122,86,0.008976459503173828,0.49285125732421875,True,0.0%
Jackson_Tennessee_USA,Bellman-Ford,12.65489516243122,86,0.4195089340209961,2.121257781982422,True,0.0%
Johnson_City_Tennessee_USA,Dijkstra,15.25383746205309,68,0.0700235366821289,0.49269866943359375,True,baseline
Johnson_City_Tennessee_USA,A*,15.25383746205309,68,0.03008127212524414,0.5038909912109375,True,0.0%
Johnson_City_Tennessee_USA,Bellman-Ford,15.25383746205309,68,0.3959782123565674,2.1947669982910156,True,0.0%
Knoxville_Tennessee_USA,Dijkstra,19.653353612613053,39,0.17365217208862305,1.3065185546875,True,baseline
Knoxville_Tennessee_USA,A*,19.685022781789364,36,0.11716246604919434,1.1653213500976562,True,0.2%
Knoxville_Tennessee_USA,Bellman-Ford,19.653353612613053,39,1.0183122158050537,6.361881256103516,True,0.0%
Lebanon_Tennessee_USA,Dijkstra,15.366697044452106,35,0.03842353820800781,0.32537841796875,True,baseline
Lebanon_Tennessee_USA,A*,15.366697044452106,35,0.011499643325805664,0.265106201171875,True,0.0%
Lebanon_Tennessee_USA,Bellman-Ford,15.366697044452106,35,0.19021844863891602,1.0244102478027344,True,0.0%
Lexington_Kentucky_USA,Dijkstra,20.07466836596743,98,0.21124696731567383,1.8947525024414062,True,baseline
Lexington_Kentucky_USA,A*,20.07466836596743,98,0.013897418975830078,1.9694137573242188,True,0.0%
Lexington_Kentucky_USA,Bellman-Ford,20.07466836596743,98,1.544325590133667,7.946689605712891,True,0.0%
Louisville_Kentucky_USA,Dijkstra,19.998528636768523,110,0.2876451015472412,3.3649368286132812,True,baseline
Louisville_Kentucky_USA,A*,19.998528636768523,110,0.0355229377746582,4.313148498535156,True,0.0%
Louisville_Kentucky_USA,Bellman-Ford,19.998528636768523,110,4.007710695266724,15.889484405517578,True,0.0%
Memphis_Tennessee_USA,Dijkstra,19.99521299384174,102,0.4479372501373291,5.4583892822265625,True,baseline
Memphis_Tennessee_USA,A*,19.99521299384174,102,0.04029417037963867,4.313148498535156,True,0.0%
Memphis_Tennessee_USA,Bellman-Ford,19.99521299384174,102,6.482312917709351,17.28671646118164,True,0.0%
Murfreesboro_Tennessee_USA,Dijkstra,18.68120526042081,66,0.11998510360717773,1.3031997680664062,True,baseline
Murfreesboro_Tennessee_USA,A*,18.713119880730794,65,0.053162336349487305,1.0606231689453125,True,0.2%
Murfreesboro_Tennessee_USA,Bellman-Ford,18.68120526042081,66,0.5444769859313965,3.9316368103027344,True,0.0%
