City,Algorithm,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Found Path,Travel Time Min,Runtime Seconds,Memory MB,Path Nodes,Graph Nodes n,Graph Edges m,Average Degree k_avg,Intersection Count,Circuity Avg,Reference Route Time Min,Route Distance Miles,Negative Cycle,Error,Graph File,Image File
"Clarksville, Tennessee, USA",Dijkstra,36.5714363,-87.3538671,36.6215229,-87.2951135,True,19.99967558096115,0.10207128524780273,1.302825927734375,66,6206,15532,5.005478569126652,4314,1.073704966984273,19.99967558096115,12.340146215960576,,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Clarksville_Tennessee_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Clarksville_Dijkstra.png
"Clarksville, Tennessee, USA",A*,36.5714363,-87.3538671,36.6215229,-87.2951135,True,19.99967558096115,0.02547621726989746,0.9850234985351562,66,6206,15532,5.005478569126652,4314,1.073704966984273,19.99967558096115,12.340146215960576,,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Clarksville_Tennessee_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Clarksville_A_.png
"Clarksville, Tennessee, USA",Bellman-Ford,36.5714363,-87.3538671,36.6215229,-87.2951135,True,19.99967558096115,0.9836366176605225,4.272663116455078,66,6206,15532,5.005478569126652,4314,1.073704966984273,19.99967558096115,12.340146215960576,False,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Clarksville_Tennessee_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Clarksville_Bellman-Ford.png
"Charlotte, North Carolina, USA",Dijkstra,35.2068042,-80.8225638,35.106206,-80.973636,True,19.999730316524303,0.6053385734558105,5.4903411865234375,147,34582,80194,4.637904111965763,23614,1.0667104477398957,19.999730316524303,13.83910201812031,,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Charlotte_North_Carolina_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Charlotte_Dijkstra.png
"Charlotte, North Carolina, USA",A*,35.2068042,-80.8225638,35.106206,-80.973636,True,21.714114925512863,0.04890155792236328,4.313148498535156,128,34582,80194,4.637904111965763,23614,1.0667104477398957,19.999730316524303,14.429636685674154,,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Charlotte_North_Carolina_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Charlotte_A_.png
"Charlotte, North Carolina, USA",Bellman-Ford,35.2068042,-80.8225638,35.106206,-80.973636,True,19.999730316524303,7.532808780670166,21.382137298583984,147,34582,80194,4.637904111965763,23614,1.0667104477398957,19.999730316524303,13.83910201812031,False,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Charlotte_North_Carolina_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Charlotte_Bellman-Ford.png
"Raleigh, North Carolina, USA",Dijkstra,35.8382297,-78.641566,35.9551398,-78.5563267,True,20.00743659967467,0.31436800956726074,1.9968643188476562,128,16480,39181,4.7549757281553395,11291,1.0817807388624272,20.00743659967467,12.496988716722122,,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Raleigh_North_Carolina_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Raleigh_Dijkstra.png
"Raleigh, North Carolina, USA",A*,35.8382297,-78.641566,35.9551398,-78.5563267,True,20.00743659967467,0.06999659538269043,1.9694137573242188,128,16480,39181,4.7549757281553395,11291,1.0817807388624272,20.00743659967467,12.496988716722122,,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Raleigh_North_Carolina_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Raleigh_A_.png
"Raleigh, North Carolina, USA",Bellman-Ford,35.8382297,-78.641566,35.9551398,-78.5563267,True,20.00743659967467,3.216332197189331,10.305606842041016,128,16480,39181,4.7549757281553395,11291,1.0817807388624272,20.00743659967467,12.496988716722122,False,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Raleigh_North_Carolina_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Raleigh_Bellman-Ford.png
"Greensboro, North Carolina, USA",Dijkstra,36.083381,-79.82418,36.0557884,-79.6838247,True,20.07347606231167,0.1996443271636963,1.3089752197265625,99,10899,27087,4.970547756674924,8136,1.0601717317728696,20.07347606231167,14.90934027254506,,,J:\Optimized Project\Network-Routing-Optimization\GraphML_Archive\Greensboro_North_Carolina_USA.graphml,J:\Optimized Project\Network-Routing-Optimization\src\city_route_images\Greensboro_Dijkstra.png
